[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:19.421 INFO 25108 [] [task-1] o.hibernate.jpa.internal.util.LogHelper  [2m:[0;39m HHH000204: Processing PersistenceUnitInfo [name: default]
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:20.656 INFO 25108 [] [task-1] org.hibernate.Version                    [2m:[0;39m HHH000412: Hibernate ORM core version 5.4.23.Final
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:21.623 INFO 25108 [] [task-1] o.hibernate.annotations.common.Version   [2m:[0;39m HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:22.712 INFO 25108 [] [task-1] org.hibernate.dialect.Dialect            [2m:[0;39m HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:24.413 WARN 25108 [] [main] JpaBaseConfiguration$JpaWebConfiguration [2m:[0;39m spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:24.820 INFO 25108 [] [main] c.a.c.s.SentinelWebAutoConfiguration     [2m:[0;39m [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:26.594 INFO 25108 [] [main] o.s.b.a.e.web.EndpointLinksResolver      [2m:[0;39m Exposing 22 endpoint(s) beneath base path '/actuator'
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:31.011 INFO 25108 [] [task-1] o.h.e.t.j.p.i.JtaPlatformInitiator       [2m:[0;39m HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:31.119 INFO 25108 [] [task-1] j.LocalContainerEntityManagerFactoryBean [2m:[0;39m Initialized JPA EntityManagerFactory for persistence unit 'default'
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:31.370 WARN 25108 [] [main] c.n.c.sources.URLConfigurationSource     [2m:[0;39m No URLs will be polled as dynamic configuration sources.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:31.370 INFO 25108 [] [main] c.n.c.sources.URLConfigurationSource     [2m:[0;39m To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:31.384 WARN 25108 [] [main] c.n.c.sources.URLConfigurationSource     [2m:[0;39m No URLs will be polled as dynamic configuration sources.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:31.384 INFO 25108 [] [main] c.n.c.sources.URLConfigurationSource     [2m:[0;39m To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:32.751 INFO 25108 [] [main] c.a.j.support.DefaultMetricsManager      [2m:[0;39m cache stat period at 15 MINUTES
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:32.775 INFO 25108 [] [main] c.a.j.a.AbstractCacheAutoInit            [2m:[0;39m init cache area default , type= redis.lettuce
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:35.719 INFO 25108 [] [main] DeferredRepositoryInitializationListener [2m:[0;39m Triggering deferred initialization of Spring Data repositories…
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:38.606 INFO 25108 [] [main] DeferredRepositoryInitializationListener [2m:[0;39m Spring Data repositories initialized!
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:38.936 INFO 25108 [] [main] DeferredRepositoryInitializationListener [2m:[0;39m Triggering deferred initialization of Spring Data repositories…
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:38.936 INFO 25108 [] [main] DeferredRepositoryInitializationListener [2m:[0;39m Spring Data repositories initialized!
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:39.039 INFO 25108 [] [main] h.ray.core.web.config.WebConfiguration   [2m:[0;39m 资源扫描类.[hqsc.ray.core.web.listener.RequestMappingScanListener@19891095]
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:40.175 INFO 25108 [] [main] DeferredRepositoryInitializationListener [2m:[0;39m Triggering deferred initialization of Spring Data repositories…
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:40.175 INFO 25108 [] [main] DeferredRepositoryInitializationListener [2m:[0;39m Spring Data repositories initialized!
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:40.437 INFO 25108 [] [main] io.undertow                              [2m:[0;39m starting server: Undertow - 2.1.4.Final
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:40.459 INFO 25108 [] [main] org.xnio                                 [2m:[0;39m XNIO version 3.8.0.Final
